epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2129.6,0.70947,0.94389,1.20193,0.57805,0.75196,0.66587,0.59941,0.67947,0.94204,1.11519,0.00091175,0.00091175,0.00091175
43,2183.61,0.69825,0.92309,1.20028,0.55655,0.7334,0.64897,0.58557,0.66788,1.05364,1.1058,0.0009035,0.0009035,0.0009035
44,2236.74,0.69106,0.93092,1.19721,0.48701,0.66921,0.59693,0.52805,0.79478,1.2775,1.18629,0.00089525,0.00089525,0.00089525
45,2284.65,0.6984,0.91572,1.17912,0.57775,0.74647,0.65273,0.5903,0.68466,0.99938,1.12385,0.000887,0.000887,0.000887
46,2338.5,0.69537,0.90976,1.19425,0.51898,0.6459,0.61201,0.54778,0.70194,1.34702,1.13347,0.00087875,0.00087875,0.00087875
47,2391.79,0.69616,0.91736,1.18986,0.55121,0.75459,0.6654,0.60454,0.68956,0.99585,1.12247,0.0008705,0.0008705,0.0008705
48,2445.82,0.70671,0.90319,1.20172,0.56601,0.73688,0.65992,0.59181,0.66975,0.96693,1.09766,0.00086225,0.00086225,0.00086225
49,2498.64,0.70304,0.91199,1.19852,0.56926,0.74974,0.66302,0.59932,0.67531,1.01261,1.10676,0.000854,0.000854,0.000854
50,2546.61,0.70698,0.9371,1.18796,0.54576,0.74181,0.66404,0.59895,0.68839,0.95796,1.10359,0.00084575,0.00084575,0.00084575
51,2599.72,0.71736,0.92344,1.20698,0.54131,0.76491,0.65941,0.60039,0.66424,0.95041,1.09353,0.0008375,0.0008375,0.0008375
52,2647.97,0.6919,0.8871,1.19122,0.549,0.73191,0.65463,0.58701,0.72896,1.02934,1.14764,0.00082925,0.00082925,0.00082925
53,2701.35,0.69343,0.90686,1.1902,0.5786,0.7162,0.66908,0.60476,0.67474,1.02597,1.09745,0.000821,0.000821,0.000821
54,2755.05,0.69751,0.89265,1.18863,0.61368,0.71778,0.66971,0.61168,0.64882,0.91656,1.07485,0.00081275,0.00081275,0.00081275
55,2808.19,0.6679,0.87077,1.17243,0.53218,0.75971,0.65437,0.58916,0.66179,0.96979,1.09975,0.0008045,0.0008045,0.0008045
56,2859.64,0.67929,0.88126,1.1824,0.61311,0.69779,0.65927,0.59875,0.66043,0.93688,1.10008,0.00079625,0.00079625,0.00079625
57,2911.67,0.67512,0.88835,1.17482,0.56181,0.74119,0.66034,0.60156,0.67827,0.96126,1.10038,0.000788,0.000788,0.000788
58,2964.86,0.68439,0.89408,1.17999,0.56283,0.75831,0.6702,0.60898,0.64466,0.97043,1.07744,0.00077975,0.00077975,0.00077975
59,3018.05,0.67878,0.88578,1.1776,0.55856,0.69405,0.62892,0.57095,0.66127,1.33075,1.08466,0.0007715,0.0007715,0.0007715
